,age,asvabc,earnings,height,hours,s,siblings,tenure,weight,wexp
0,40,51.35817,55.76,73,40,14,1,4.615385,155,18.82692
1,43,49.17721,15.58,71,40,12,2,17.78846,195,23.40385
2,41,58.99152,10.75,66,20,16,3,6.807693,130,12.71154
3,38,45.36054,23.6,73,40,12,3,6.480769,200,18.0
4,40,46.45102,9.35,64,32,13,4,8.634615,140,12.86539
5,42,39.36291,17.5,64,40,12,6,8.576923,147,16.15385
6,40,34.18314,5.15,64,35,12,5,0.7115384,140,18.07692
7,43,55.72008,30.0,72,40,17,3,16.17308,175,19.01923
8,44,64.71653,31.73,61,40,12,3,10.76923,200,22.88461
9,41,50.81293,14.28,65,21,13,3,2.365385,140,17.28846
10,43,58.99152,22.96,72,35,12,3,4.961538,215,23.13461
11,39,59.80938,19.58,74,54,20,1,9.615385,170,7.423077
12,40,48.35935,10.16,60,40,12,13,5.788462,117,8.884615
13,41,56.26532,8.59,66,40,12,4,2.230769,187,22.61539
14,45,34.45576,9.25,66,40,14,3,1.75,220,17.55769
15,38,33.09266,9.75,64,40,12,3,1.730769,138,1.769231
16,44,49.99507,23.0,73,40,12,4,0.3846154,180,22.13461
17,41,42.36172,5.5,63,40,10,7,1.365385,157,4.557693
18,45,63.35343,29.61,69,50,13,2,4.269231,160,21.92308
19,42,48.35935,17.5,71,40,12,3,4.326923,175,16.98077
20,45,40.72601,13.95,67,40,12,3,2.153846,160,22.28846
21,42,58.44628,27.97,69,55,12,3,5.923077,135,20.21154
22,41,47.81411,9.25,68,28,13,3,3.519231,120,18.55769
23,41,61.17247,23.0,66,32,16,1,1.807692,125,12.71154
24,39,64.98915,28.38,66,42,14,3,14.13461,138,15.30769
25,43,50.26769,11.53,69,40,12,3,19.23077,160,23.01923
26,41,45.63316,10.5,66,15,12,4,1.019231,120,10.11539
27,39,50.26769,23.25,65,30,14,7,15.67308,130,17.90385
28,39,36.36409,20.94,60,45,12,7,2.0,99,19.84615
29,45,57.08318,30.0,69,48,13,3,22.73077,215,17.90385
30,39,51.63079,25.0,61,30,16,1,6.75,148,18.25
31,39,54.35698,18.61,66,40,12,2,8.980769,120,15.65385
32,40,61.99033,21.8,74,40,13,3,5.711538,215,14.38461
33,42,49.72245,11.66,61,45,12,3,13.90385,150,18.46154
34,39,48.35935,9.88,63,20,12,1,11.44231,165,17.71154
35,40,44.8153,11.4,68,40,12,5,9.557693,138,14.69231
36,38,46.72364,16.32,66,40,14,3,16.65385,130,10.88461
37,39,42.0891,10.25,62,30,12,3,6.730769,108,20.90385
38,39,54.6296,23.07,72,40,16,0,7.692307,155,14.23077
39,44,56.26532,26.49,76,45,12,3,15.36539,235,23.32692
40,42,57.62842,12.15,72,40,12,0,1.576923,120,22.71154
41,39,51.90341,3.84,71,55,12,2,0.8076923,145,7.25
42,38,44.54268,34.34,63,35,12,0,1.057692,110,18.28846
43,39,58.17366,26.04,70,40,13,1,14.90385,174,13.94231
44,39,46.72364,37.0,70,42,12,3,21.25,165,22.0
45,41,48.35935,23.5,69,45,12,3,1.615385,152,22.15385
46,45,61.17247,18.0,67,35,14,4,0.2692308,122,14.07692
47,39,43.99744,29.48,62,45,16,8,11.86539,130,18.26923
48,41,44.8153,25.0,67,10,14,1,10.90385,146,14.96154
49,45,40.72601,14.75,64,40,12,1,5.942307,135,21.26923
50,44,32.2748,11.0,70,40,10,5,13.03846,205,17.88461
51,40,42.90696,23.07,64,40,12,3,12.30769,155,20.73077
52,41,49.72245,11.0,61,40,12,4,15.80769,135,20.86539
53,40,65.80701,19.68,67,42,16,2,5.730769,145,8.288462
54,37,63.35343,7.01,64,20,18,0,0.75,130,8.711538
55,39,64.71653,12.5,68,15,16,6,10.96154,128,15.38461
56,44,62.26295,38.46,68,50,20,11,16.82692,135,18.21154
57,40,34.72837,10.5,74,40,8,2,0.1730769,270,19.76923
58,42,62.53557,15.62,60,40,14,3,10.76923,106,17.13461
59,40,53.26651,30.68,70,45,18,5,13.07692,175,16.34615
60,43,49.99507,20.01,65,40,12,2,24.03846,220,22.96154
61,45,55.9927,13.25,69,41,12,0,17.44231,137,22.36539
62,39,35.81885,13.11,66,40,14,8,0.1538462,120,15.63461
63,39,42.36172,7.0,67,58,12,4,0.4807692,145,13.25
64,44,60.89985,19.75,68,40,12,3,22.21154,115,23.17308
65,42,30.63908,15.4,66,40,12,6,12.03846,113,17.96154
