age,asvab2,asvab3,asvab4,asvab5,asvab6,asvabc,catgov,catpri,catse,collbarg,earn,earnf,educaa,educba,educdo,educged,educhsd,educmast,educphd,educprof,ethblack,ethhisp,ethwhite,faithc,faithj,faithn,faitho,faithp,height,hgc,hgcf,hgcm,hours,id,l14coun,l14farm,l14town,lgearn,library,male,pov78,regnc,regne,regs,regw,res14no,res14oc,res14so,siblings,tenure,urban,weight85,weight94
33,36,50,50,46,43,44,0,1,0,0,18.6300005893426,11.4856520673156,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,69,12,12,12,40,4575,0,0,1,2.92477321624756,0,1,0,0,0,0,1,1,0,0,2,2.80999994277954,1,165,175
31,62,56,59,32,54,60,0,1,0,0,8.0000000457117,13.6317612535323,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,73,14,14,16,40,3680,0,0,1,2.0794415473938,0,1,0,1,0,0,0,1,0,0,1,0.829999983310699,1,170,190
36,62,59,56,62,54,60,0,1,0,0,22.6400013557326,12.558706660424,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,71,13,12,10,45,947,0,0,1,3.11971831321716,1,1,0,1,0,0,0,1,0,0,9,11.9200000762939,1,170,183
36,42,47,41,46,44,42,0,1,0,0,27.0100005876137,11.4856520673156,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,71,12,10,10,40,782,0,0,1,3.29620718955994,1,1,0,1,0,0,0,1,0,0,6,1.75,1,165,185
30,64,42,47,41,41,51,1,0,0,0,10.5000008846453,12.558706660424,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,66,13,12,12,56,5266,0,0,1,2.35137534141541,1,1,0,0,0,0,1,1,0,0,2,0.810000002384186,1,145,160
37,65,61,59,58,53,63,0,1,0,0,11.4199994231664,12.558706660424,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,72,13,15,12,70,4260,0,0,1,2.43536615371704,1,1,0,0,0,1,0,0,0,1,4,0.310000002384186,0,165,195
33,46,54,44,52,50,48,0,1,0,0,10.6800008933099,11.4856520673156,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,69,12,16,12,45,549,0,0,1,2.36837291717529,1,1,#N/A,1,0,0,0,1,0,0,3,14.3299999237061,1,152,165
32,31,43,32,38,31,33,0,1,0,0,8.0000000457117,9.33954288109891,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,72,10,9,12,55,5215,0,0,1,2.0794415473938,1,1,#N/A,0,0,0,1,1,0,0,3,0.579999983310699,1,175,200
35,55,55,59,53,50,57,1,0,0,0,11.8600009367012,13.6317612535323,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,68,14,12,11,40,2620,1,0,0,2.47317147254944,1,1,0,0,0,1,0,0,0,1,2,5.76999998092651,0,175,160
30,40,43,47,38,29,42,0,1,0,0,5.20000003975262,11.4856520673156,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,71,12,12,10,40,1292,0,0,1,1.64865863323212,1,1,0,0,0,1,0,0,0,1,4,2.23000001907349,1,178,235
