"","Date","ADM","BOOK","BUSI","CLOT","DATE","DELGADM","DELGBOOK","DELGDPI","DELGMAGS","DELGTOYS","DELPRADM","DELPRBOOK","DELPRMAGS","DELPRTOYS","DENT","DOC","DPI","FLOW","FOOD","FURN","GAS","GASO","HOUS","LEGL","LGADM","LGBOOK","LGDPI","LGMAGS","LGTOYS","LPRADM","LPRBOOK","LPRMAGS","LPRTOYS","MAGS","MASS","OPHT","PADM","PBOOK","PBUSI","PCLOT","PDENT","PDOC","PFLOW","PFOOD","PFURN","PGAS","PGASO","PHOUS","PLEGL","PMAGS","PMASS","POP","POPHT","PRELG","PTELE","PTOB","PTOYS","PTPE","RELG","TELE","TIME","TOB","TOYS","TPE"
"1",1959-01-01,12.265488,6.478151,93.771054,53.672333,1959,-0.357523953464034,-0.842056323872118,-0.816604494208426,-0.469235939261281,-1.35461807346977,0.507719075377363,-0.115506383352574,-0.212756639935376,0.433885104728554,18.949116,58.338048,1715.5,2.1825,273.007725,13.90194,23.41551,60.744761,242.60676,39.759,2.50678946493361,1.86843513014095,7.4474598622985,2.70106922401807,1.45780213425568,4.09485735163151,4.41324905905686,4.24832742396377,5.59603723317326,14.89565,10.377185,3.040297,13.681,16.864,13.975,49.136,10.286,9.457,29.368,22.259,34.371,12.519,18.576,18.563,7.693,14.3,13.327,177130,21.067,17.087,55.169,7.394,55.035,20.432,29.554619,7.586064,1,88.58882,4.296506,23.067
"2",1960-01-01,12.177936,6.738989,96.860097,54.15163,1960,-0.364687628603618,-0.802581540339976,-0.791165737549214,-0.461115611483713,-1.32361889850169,0.484292511167119,-0.12644665059597,-0.214440999375801,0.433270915166528,19.323624,59.372864,1759.7,2.40624,275.665548,13.785668,24.59221,62.825049,255.32892,39.647,2.49962578979402,1.90790991367309,7.47289861895772,2.70918955179564,1.48880130922376,4.07143078742127,4.40230879181346,4.24664306452335,5.59542304361124,15.0171,10.324132,2.894437,14.437,16.954,14.575,49.79,10.49,9.688,30.091,22.475,34.43,13.308,19.112,18.859,7.92,14.51,13.744,180760,21.577,17.295,56.039,7.64,55.903,20.767,30.057735,8.057691,2,89.880145,4.43178,23.702
"3",1961-01-01,11.887312,7.110026,102.59073,55.166787,1961,-0.388841805582839,-0.748985553383225,-0.757912233510658,-0.543598793723122,-1.26472366543915,0.449695625763186,-0.129250800227677,-0.207259096936112,0.436737427423111,20.04174,59.789632,1819.2,2.37078,279.751455,13.659932,25.94603,63.473382,267.68874,44.009,2.4754716128148,1.96150590062984,7.50615212299627,2.62670636955623,1.5476965422863,4.03683390201734,4.39950464218176,4.25382496696303,5.59888955586782,13.82815,9.904349,2.833883,15.05,17.084,14.961,50.111,10.548,9.915,30.794,22.59,34.789,13.52,18.924,19.119,8.081,14.768,14.377,183742,22.286,17.429,56.227,7.702,56.686,20.985,30.641832,8.586864,3,92.66611,4.70063,24.191
"4",1962-01-01,11.895824,7.499598,102.288834,57.658536,1962,-0.388126004238269,-0.695642034907333,-0.710148688189184,-0.428623558099146,-1.19766724522804,0.438709846303459,-0.13430163602249,-0.20383992998814,0.439345700308868,20.927334,63.8176,1908.2,2.7243,282.188265,14.549548,27.87139,66.165106,282.84663,45.788,2.47618741415937,2.01484941910573,7.55391566831775,2.7416816051802,1.61475296249741,4.02584812255761,4.39445380638694,4.25724413391101,5.60149782875358,15.51305,9.682855,3.403842,15.619,17.198,15.566,50.266,10.852,10.202,31.431,22.762,34.959,13.52,19.043,19.352,8.198,14.993,14.934,186590,22.634,17.581,56.222,7.763,57.503,21.232,31.015723,9.089766,4,92.96598,5.026646,25.389
"5",1963-01-01,11.859952,8.112601,105.938541,58.691555,1963,-0.391146072053788,-0.617072922137399,-0.673666881609995,-0.404240803480176,-1.13556666699875,0.424123542455665,-0.131837213756937,-0.171369175729596,0.44023998479106,20.690022,66.465024,1979.1,3.14208,284.755416,15.600728,29.04194,68.197955,295.95126,49.001,2.47316734634385,2.09341853187567,7.59039747489694,2.76606435979917,1.6768535407267,4.01126181870982,4.3969182286525,4.28971488816955,5.60239211323577,15.89595,9.46946,3.56473,16.165,17.441,15.727,50.763,11.145,10.434,31.968,23.021,35.103,13.52,18.997,19.585,8.367,15.668,15.281,189300,22.791,17.842,56.24,7.999,58.224,21.479,32.177025,9.822852,5,93.71016,5.3487,26.436
"6",1964-01-01,11.731664,9.518902,112.159755,63.323767,1964,-0.402021907310695,-0.45721194799597,-0.60357310555319,-0.426752692334643,-1.06135288033776,0.399055859160631,-0.17293442976582,-0.148350341785663,0.43320165929192,23.441976,76.195136,2122.8,3.31686,295.415043,17.423224,30.27809,71.93158,310.173105,49.273,2.46229151108694,2.2532795060171,7.66049125095374,2.74355247094471,1.75106732738769,3.98619413541478,4.35582101264361,4.31273372211348,5.59535378773663,15.5421,9.272263,3.802747,17.176,16.978,16.422,51.13,11.449,10.722,32.728,23.513,35.15,13.596,18.873,19.785,8.807,16.262,15.628,191927,23.045,17.974,56.319,8.188,58.642,21.786,36.49314,10.565946,6,92.327775,5.760748,28.02
"7",1965-01-01,12.19192,9.544514,119.960532,65.928642,1965,-0.363539981154667,-0.454524914841975,-0.543913269146854,-0.388577082499928,-0.989064208009752,0.423092001059607,-0.166744098460985,-0.135201058107866,0.407351091800932,24.08655,77.123392,2253.3,3.89538,311.101299,18.360836,31.45684,75.329618,327.384255,50.632,2.50077343724297,2.25596653917109,7.72015108736008,2.78172808077942,1.8233559997157,4.01023027731376,4.36201134394845,4.32588300579128,5.56950322024564,16.1469,9.117654,4.053803,18.211,17.332,16.757,51.671,11.823,11.067,33.036,23.963,35.366,13.596,19.587,19.985,9.313,16.717,15.914,194347,23.516,18.361,55.52,8.536,57.977,22.103,38.68135,11.689344,7,94.75107,6.192606,29.791
"8",1966-01-01,12.53848,10.32231,125.157456,70.37628,1966,-0.33551110266086,-0.376183881798158,-0.492617755794029,-0.256878990274436,-0.866145553681581,0.426144712512345,-0.159027229000998,-0.127458802158282,0.378988546499984,24.584658,77.097344,2371.9,4.29984,323.670705,19.36064,32.69176,80.029593,342.360975,55.479,2.52880231573678,2.33430757221491,7.7714466007129,2.91342617300491,1.94627465404387,4.0132829887665,4.36972821340844,4.33362526174086,5.54114067494469,18.4198,8.904259,4.403646,19.198,17.908,17.603,53.113,12.206,11.764,33.585,24.973,36.252,13.665,20.038,20.289,9.592,17.273,16.678,196599,24.189,18.808,54.294,8.997,57.781,22.662,40.914358,12.909069,8,94.75107,7.002552,31.484
"9",1967-01-01,12.280384,10.091128,130.73175,70.778175,1967,-0.356310225809244,-0.398834832040714,-0.449705111240182,-0.263111796431053,-0.82637163487398,0.380289266450859,-0.156545739559753,-0.119936356840407,0.370648477457811,26.411466,79.905792,2475.9,4.33944,331.383492,19.290336,34.28174,82.629953,357.87114,55.578,2.5080031925884,2.31165662197235,7.81435924526675,2.9071933668483,1.98604857285147,3.96742754270501,4.37220970284968,4.34114770705874,5.53280060590252,18.30535,8.652826,3.934463,20.326,18.408,18.094,55.377,12.818,12.563,34.432,25.035,37.602,13.664,20.7,20.694,10.091,17.845,17.869,198752,25.347,19.279,55.013,9.334,58.755,23.237,44.243194,13.942395,9,95.60358,7.286684,32.422
"10",1968-01-01,12.961344,10.427791,136.349172,73.755175,1968,-0.302342029146665,-0.366017000336751,-0.405423700886139,-0.273026755737185,-0.754018458314881,0.395677511876121,-0.144753615908324,-0.0993860529758477,0.369926725324956,27.505944,82.330624,2588,4.58802,346.361373,19.981884,35.34528,88.384128,376.00827,56.325,2.56197138925098,2.34447445367632,7.85864065562079,2.89727840754216,2.05840174941057,3.98281578813027,4.38400182650111,4.3616980109233,5.53207885376967,18.12475,8.352981,4.423757,21.99,19.359,19.079,58.504,13.515,13.26,36.059,25.81,39.538,13.808,21.005,21.219,10.479,18.932,18.978,200745,26.203,20.044,55.016,9.922,61.022,24.151,46.202245,15.155865,10,94.92377,7.83344,34.284
